Gene_Stable_ID,Primary_Seq
ENSG00000139352,True
ENSG00000184486,True
ENSG00000186487,True
ENSG00000150907,True
ENSG00000105672,True
ENSG00000127528,True
ENSG00000162367,True
ENSG00000135363,True
ENSG00000109101,True
ENSG00000136826,True
ENSG00000136997,True
ENSG00000181449,True
ENSG00000204531,True
ENSG00000206454,False
ENSG00000230336,False
ENSG00000237582,False
ENSG00000229094,False
ENSG00000235068,False
ENSG00000233911,False
ENSG00000121552,True
ENSG00000184937,True
ENSG00000137090,True
ENSG00000136574,True
ENSG00000285109,False
ENSG00000125398,True
