# Input,ChemicalName,ChemicalID,CasRN,DiseaseName,DiseaseID,DiseaseCategories,OmimIDs,PubMedIDs,DirectEvidence
mesh:d055371,Acrolein,D000171,107-02-8,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,20525806|21297076|27592100,marker/mechanism
mesh:d055371,Amifostine,D004999,20537-88-6,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,19010997,therapeutic
mesh:d055371,"Asbestos, Crocidolite",D017638,12001-28-4,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,15298984,marker/mechanism
mesh:d055371,"Asbestos, Serpentine",D017632,,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,22903825,marker/mechanism
mesh:d055371,Ascorbic Acid,D001205,50-81-7,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,15612528,therapeutic
mesh:d055371,Aspirin,D001241,50-78-2,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,19809160,therapeutic
mesh:d055371,benzamide,C037689,27208-38-4,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,8643465,therapeutic
mesh:d055371,Benzo(a)pyrene,D001564,50-32-8,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,28032951,marker/mechanism
mesh:d055371,Curcumin,D003474,458-37-7,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,25461551|29480285,therapeutic
mesh:d055371,Dexamethasone,D003907,50-02-2,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,11778176|21511011|21801858|25080890|25497111|25891457|30102002,therapeutic
mesh:d055371,diallyl trisulfide,C042577,2050-87-5,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,17448272,therapeutic
mesh:d055371,Dronabinol,D013759,,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,32612530|32754917,therapeutic
mesh:d055371,epigallocatechin gallate,C045651,989-51-5,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,27890776,therapeutic
mesh:d055371,Ethanol,D000431,64-17-5,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,20159407,marker/mechanism
mesh:d055371,Formaldehyde,D005557,50-00-0,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,25845602,therapeutic
mesh:d055371,geraniol,C007836,624-15-7,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,29050341,therapeutic
mesh:d055371,Hemin,D006427,16009-13-5,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,27830717,therapeutic
mesh:d055371,Hydrocortisone,D006854,50-23-7,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,19078840,therapeutic
mesh:d055371,Hydrogen Sulfide,D006862,7783-06-4,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,24722316|32404561,marker/mechanism
mesh:d055371,kaempferol,C006552,520-18-3,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,30769083,therapeutic
mesh:d055371,Mifepristone,D015735,84371-65-3,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,24812154,therapeutic
mesh:d055371,ML 7,C070571,109376-83-2,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,19374788,therapeutic
mesh:d055371,"Nanotubes, Carbon",D037742,,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,31265265,marker/mechanism
mesh:d055371,naphthalene,C031721,91-20-3,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,19880587|2050025|20554700|26840748,marker/mechanism
mesh:d055371,Nickel,D009532,7440-02-0,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,12540486|16166738,marker/mechanism
mesh:d055371,nickel sulfate,C029938,7786-81-4,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,11751209|11954676|12718980|16100012|18467339|19131640,marker/mechanism
mesh:d055371,Oleanolic Acid,D009828,508-02-1,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,21801858,therapeutic
mesh:d055371,Oxygen,D010100,7782-44-7,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,1559913|16625121|16759491|19078840|23637810|24571919|26722498,marker/mechanism|therapeutic
mesh:d055371,Ozone,D010126,10028-15-6,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,27240593|29947284,marker/mechanism
mesh:d055371,Paraquat,D010269,4685-14-7,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,19712760|20004239|20498031|21801858|21941782|23603004|24535699|24812154|24893116|24963491|25215149|25304964|25338942|25461551|25579023|25674253|25815693|25891457|26313688|26708779|26722498|26813466|27014807|27890776|28131803|28363843|28474156|28480221|28600744|30025709|30088170|30571954|30726711|30797787|30967525|32680482|32763286|33592258,marker/mechanism
mesh:d055371,Particulate Matter,D052638,,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,12396868|12832678|16298680|28351761|29559844|29883952|31279222,marker/mechanism
mesh:d055371,pirinixic acid,C006253,50892-23-4,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,18653653,therapeutic
mesh:d055371,Plant Extracts,D010936,,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,28032951,therapeutic
mesh:d055371,Prednisolone,D011239,50-24-8,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,19078840,therapeutic
mesh:d055371,pyrazolanthrone,C432165,,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,28474156,therapeutic
mesh:d055371,Quercetin,D011794,117-39-5,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,25413579|27525872,therapeutic
mesh:d055371,Resveratrol,D000077185,,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,16488442|21284090|22646800|23625030|24818579|26708779,therapeutic
mesh:d055371,Rosiglitazone,D000077154,,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,30797787,therapeutic
mesh:d055371,Simvastatin,D019821,79902-63-9,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,20452610,therapeutic
mesh:d055371,Smoke,D012906,,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,29100208,marker/mechanism
mesh:d055371,sodium bisulfide,C025451,16721-80-5,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,24722316,marker/mechanism
mesh:d055371,Troglitazone,D000077288,97322-87-7,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,21153920,therapeutic
mesh:d055371,Vehicle Emissions,D001335,,Acute Lung Injury,MESH:D055371,Respiratory tract disease,,12832678|16298680,marker/mechanism
mesh:d008607,Carbamazepine,D002220,298-46-4,Intellectual Disability,MESH:D008607,Mental disorder|Nervous system disease|Signs and symptoms,,2039260|9014606,marker/mechanism
mesh:d008607,Chlorpyrifos,D004390,2921-88-2,Intellectual Disability,MESH:D008607,Mental disorder|Nervous system disease|Signs and symptoms,,30894343,marker/mechanism
mesh:d008607,Dichlorodiphenyl Dichloroethylene,D003633,72-55-9,Intellectual Disability,MESH:D008607,Mental disorder|Nervous system disease|Signs and symptoms,,27548254,marker/mechanism
mesh:d008607,Ethanol,D000431,64-17-5,Intellectual Disability,MESH:D008607,Mental disorder|Nervous system disease|Signs and symptoms,,22298809,marker/mechanism
mesh:d008607,glyphosate,C010974,1071-83-6,Intellectual Disability,MESH:D008607,Mental disorder|Nervous system disease|Signs and symptoms,,30894343,marker/mechanism
mesh:d008607,Lead,D007854,7439-92-1,Intellectual Disability,MESH:D008607,Mental disorder|Nervous system disease|Signs and symptoms,,22300406,marker/mechanism
mesh:d008607,Mercury,D008628,7439-97-6,Intellectual Disability,MESH:D008607,Mental disorder|Nervous system disease|Signs and symptoms,,22300406,marker/mechanism
mesh:d008607,Methotrexate,D008727,59-05-2,Intellectual Disability,MESH:D008607,Mental disorder|Nervous system disease|Signs and symptoms,,10413333,marker/mechanism
mesh:d008607,perfluorooctane sulfonic acid,C076994,1763-23-1,Intellectual Disability,MESH:D008607,Mental disorder|Nervous system disease|Signs and symptoms,,29298162,marker/mechanism
mesh:d008607,Pesticides,D010575,,Intellectual Disability,MESH:D008607,Mental disorder|Nervous system disease|Signs and symptoms,,22300406,marker/mechanism
mesh:d008607,Phenobarbital,D010634,50-06-6,Intellectual Disability,MESH:D008607,Mental disorder|Nervous system disease|Signs and symptoms,,4702089,marker/mechanism
mesh:d008607,Phenytoin,D010672,57-41-0,Intellectual Disability,MESH:D008607,Mental disorder|Nervous system disease|Signs and symptoms,,10798072|7199765|7294529|9212184,marker/mechanism
mesh:d008607,Polychlorinated Biphenyls,D011078,,Intellectual Disability,MESH:D008607,Mental disorder|Nervous system disease|Signs and symptoms,,27548254,marker/mechanism
mesh:d008607,Toluene,D014050,108-88-3,Intellectual Disability,MESH:D008607,Mental disorder|Nervous system disease|Signs and symptoms,,9294310,marker/mechanism
mesh:d008607,Valproic Acid,D014635,99-66-1,Intellectual Disability,MESH:D008607,Mental disorder|Nervous system disease|Signs and symptoms,,17101920,marker/mechanism
