# Input,ChemicalName,ChemicalID,CasRN,GeneSymbol,GeneID,Organism,OrganismID,Interaction,InteractionActions,PubMedIDs
klf4,1-Methyl-4-phenylpyridinium,D015655,48134-75-4,KLF4,9314,Homo sapiens,9606.0,KLF4 protein affects the reaction [1-Methyl-4-phenylpyridinium affects the expression of JAG1 protein],affects^expression|affects^reaction,29611404
klf4,1-Methyl-4-phenylpyridinium,D015655,48134-75-4,KLF4,9314,Homo sapiens,9606.0,KLF4 protein affects the reaction [1-Methyl-4-phenylpyridinium affects the expression of NOTCH1 protein],affects^expression|affects^reaction,29611404
klf4,1-Methyl-4-phenylpyridinium,D015655,48134-75-4,KLF4,9314,Homo sapiens,9606.0,KLF4 protein affects the reaction [MIR212 mRNA affects the reaction [1-Methyl-4-phenylpyridinium affects the expression of JAG1 protein]],affects^expression|affects^reaction,29611404
klf4,1-Methyl-4-phenylpyridinium,D015655,48134-75-4,KLF4,9314,Homo sapiens,9606.0,KLF4 protein affects the reaction [MIR212 mRNA affects the reaction [1-Methyl-4-phenylpyridinium affects the expression of NOTCH1 protein]],affects^expression|affects^reaction,29611404
klf4,1-Naphthylisothiocyanate,D015058,551-06-4,KLF4,9314,Homo sapiens,9606.0,[1-Naphthylisothiocyanate co-treated with Cholic Acids] affects the expression of KLF4 mRNA,affects^cotreatment|affects^expression,27344345
klf4,"2,2',4,4',5-brominated diphenyl ether",C477694,,KLF4,9314,Homo sapiens,9606.0,"2,2',4,4',5-brominated diphenyl ether results in increased expression of KLF4 mRNA",increases^expression,26705709
klf4,2-methyl-4-isothiazolin-3-one,C011506,2682-20-4,KLF4,9314,Homo sapiens,9606.0,2-methyl-4-isothiazolin-3-one results in increased expression of KLF4 mRNA,increases^expression,31629900
klf4,3-((6-(2-methoxyphenyl)pyrimidin-4-yl)amino)phenyl)methane sulfonamide,C000590771,,KLF4,9314,Homo sapiens,9606.0,3-((6-(2-methoxyphenyl)pyrimidin-4-yl)amino)phenyl)methane sulfonamide results in decreased expression of KLF4 mRNA,decreases^expression,24102143
klf4,"4-(4-((5-(4,5-dimethyl-2-nitrophenyl)-2-furanyl)methylene)-4,5-dihydro-3-methyl-5-oxo-1H-pyrazol-1-yl)benzoic acid",C584509,,KLF4,9314,Homo sapiens,9606.0,"4-(4-((5-(4,5-dimethyl-2-nitrophenyl)-2-furanyl)methylene)-4,5-dihydro-3-methyl-5-oxo-1H-pyrazol-1-yl)benzoic acid results in decreased expression of KLF4 mRNA",decreases^expression,26191083
klf4,4-(5-(4-chlorophenyl)-3-(trifluoromethyl)-1H-pyrazol-1-yl)benzenesulfonamide,C119130,,KLF4,9314,Homo sapiens,9606.0,4-(5-(4-chlorophenyl)-3-(trifluoromethyl)-1H-pyrazol-1-yl)benzenesulfonamide affects the reaction [[Water Pollutants results in increased abundance of naphthenic acid] which results in increased expression of KLF4 mRNA],affects^reaction|increases^abundance|increases^expression,35259347
