# Input,SrcGeneSymbol,SrcGeneId,TgtGeneSymbol,TgtGeneId,SrcOrganism,SrcOrganismId,TgtOrganism,TgtOrganismId,Assay,InteractionType,Throughput,PubMedId
klf4,AR,367,KLF4,9314,Homo sapiens,9606,Homo sapiens,9606,Affinity Capture-Western,physical,low,33640491
klf4,AR,367,KLF4,9314,Homo sapiens,9606,Homo sapiens,9606,Proximity Label-MS,physical,high,33640491
klf4,ATXN3,4287,KLF4,9314,Homo sapiens,9606,Homo sapiens,9606,Affinity Capture-Western,physical,low,31563563
klf4,AURKA,6790,KLF4,9314,Homo sapiens,9606,Homo sapiens,9606,Affinity Capture-MS,physical,high,26496610
klf4,BAALC,79870,KLF4,9314,Homo sapiens,9606,Homo sapiens,9606,Co-localization,physical,low,26050649
klf4,BAALC,79870,KLF4,9314,Homo sapiens,9606,Homo sapiens,9606,Reconstituted Complex,physical,low,26050649
klf4,BAALC,79870,KLF4,9314,Homo sapiens,9606,Homo sapiens,9606,Two-hybrid,physical,low,26050649
klf4,BAALC,79870,KLF4,9314,Homo sapiens,9606,Homo sapiens,9606,Affinity Capture-Western,physical,low,26050649
klf4,CDH1,999,KLF4,9314,Homo sapiens,9606,Homo sapiens,9606,Affinity Capture-Western,physical,low,21177849
klf4,CREBBP,1387,KLF4,9314,Homo sapiens,9606,Homo sapiens,9606,Biochemical Activity,physical,low,17908689
klf4,CREBBP,1387,KLF4,9314,Homo sapiens,9606,Homo sapiens,9606,Reconstituted Complex,physical,low,10666450
klf4,CREBBP,1387,KLF4,9314,Homo sapiens,9606,Homo sapiens,9606,Co-localization,physical,low,21482710
klf4,CREBBP,1387,KLF4,9314,Homo sapiens,9606,Homo sapiens,9606,Affinity Capture-Western,physical,low,10666450
klf4,CTBP1,1487,KLF4,9314,Homo sapiens,9606,Homo sapiens,9606,Affinity Capture-Western,physical,low,19751731
klf4,ELK1,2002,KLF4,9314,Homo sapiens,9606,Homo sapiens,9606,Affinity Capture-Western,physical,low,18768922
klf4,EP300,2033,KLF4,9314,Homo sapiens,9606,Homo sapiens,9606,Affinity Capture-Western,physical,low,21252119
klf4,EP300,2033,KLF4,9314,Homo sapiens,9606,Homo sapiens,9606,Affinity Capture-MS,physical,low,33742100
klf4,EP300,2033,KLF4,9314,Homo sapiens,9606,Homo sapiens,9606,Co-localization,physical,low,21482710
klf4,EP300,2033,KLF4,9314,Homo sapiens,9606,Homo sapiens,9606,Reconstituted Complex,physical,low,17908689
klf4,ESR1,2099,KLF4,9314,Homo sapiens,9606,Homo sapiens,9606,Affinity Capture-MS,physical,high,31527615
