DB,DB_Object_ID,DB_Object_Symbol,Qualifier,GO_ID,Reference,Evidence_Code,With_Or_From,Aspect,DB_Object_Name,DB_Object_Synonym,DB_Object_Type,Taxon,Date,Assigned_By,Annotation_Extension,Gene_Product_Form_ID
UniProtKB,O00321,ETV2,enables,GO:0000978,GO_REF:0000107,IEA,UniProtKB:P41163|ensembl:ENSMUSP00000103782,F,ETS translocation variant 2,ETV2|ER71|ETSRP71,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,O00321,ETV2,enables,GO:0001228,GO_REF:0000107,IEA,UniProtKB:P41163|ensembl:ENSMUSP00000103782,F,ETS translocation variant 2,ETV2|ER71|ETSRP71,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,O00321,ETV2,enables,GO:1990837,PMID:28473536,IDA,,F,ETS translocation variant 2,ETV2|ER71|ETSRP71,protein,taxon:9606,20200608,ARUK-UCL,,
UniProtKB,O00321,ETV2,involved_in,GO:0001824,GO_REF:0000107,IEA,UniProtKB:P41163|ensembl:ENSMUSP00000103782,P,ETS translocation variant 2,ETV2|ER71|ETSRP71,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,O00321,ETV2,involved_in,GO:0001890,GO_REF:0000107,IEA,UniProtKB:P41163|ensembl:ENSMUSP00000103782,P,ETS translocation variant 2,ETV2|ER71|ETSRP71,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,O00321,ETV2,involved_in,GO:0007219,GO_REF:0000107,IEA,UniProtKB:P41163|ensembl:ENSMUSP00000103782,P,ETS translocation variant 2,ETV2|ER71|ETSRP71,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,O00321,ETV2,involved_in,GO:0010628,GO_REF:0000107,IEA,UniProtKB:P41163|ensembl:ENSMUSP00000103782,P,ETS translocation variant 2,ETV2|ER71|ETSRP71,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,O00321,ETV2,involved_in,GO:0016055,GO_REF:0000107,IEA,UniProtKB:P41163|ensembl:ENSMUSP00000103782,P,ETS translocation variant 2,ETV2|ER71|ETSRP71,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,O00321,ETV2,involved_in,GO:0030218,GO_REF:0000107,IEA,UniProtKB:P41163|ensembl:ENSMUSP00000103782,P,ETS translocation variant 2,ETV2|ER71|ETSRP71,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,O00321,ETV2,involved_in,GO:0045603,GO_REF:0000107,IEA,UniProtKB:P41163|ensembl:ENSMUSP00000103782,P,ETS translocation variant 2,ETV2|ER71|ETSRP71,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,O00321,ETV2,involved_in,GO:0045944,GO_REF:0000107,IEA,UniProtKB:P41163|ensembl:ENSMUSP00000103782,P,ETS translocation variant 2,ETV2|ER71|ETSRP71,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,O00321,ETV2,involved_in,GO:0048514,GO_REF:0000107,IEA,UniProtKB:P41163|ensembl:ENSMUSP00000103782,P,ETS translocation variant 2,ETV2|ER71|ETSRP71,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,O00321,ETV2,involved_in,GO:0060803,GO_REF:0000107,IEA,UniProtKB:P41163|ensembl:ENSMUSP00000103782,P,ETS translocation variant 2,ETV2|ER71|ETSRP71,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,O00321,ETV2,involved_in,GO:2000382,GO_REF:0000107,IEA,UniProtKB:P41163|ensembl:ENSMUSP00000103782,P,ETS translocation variant 2,ETV2|ER71|ETSRP71,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,O15353,FOXN1,enables,GO:0000981,GO_REF:0000113,ISA,tfclass:3.3.1,F,Forkhead box protein N1,FOXN1|RONU|WHN,protein,taxon:9606,20190405,NTNU_SB,,
UniProtKB,O15353,FOXN1,enables,GO:0001228,GO_REF:0000107,IEA,UniProtKB:Q61575|ensembl:ENSMUSP00000103929,F,Forkhead box protein N1,FOXN1|RONU|WHN,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,O15353,FOXN1,enables,GO:0005515,PMID:32296183,IPI,UniProtKB:O60336,F,Forkhead box protein N1,FOXN1|RONU|WHN,protein,taxon:9606,20220423,IntAct,,
UniProtKB,O15353,FOXN1,enables,GO:0005515,PMID:32296183,IPI,UniProtKB:O75865-2,F,Forkhead box protein N1,FOXN1|RONU|WHN,protein,taxon:9606,20220423,IntAct,,
UniProtKB,O15353,FOXN1,enables,GO:0005515,PMID:32296183,IPI,UniProtKB:P32320,F,Forkhead box protein N1,FOXN1|RONU|WHN,protein,taxon:9606,20220423,IntAct,,
UniProtKB,O15353,FOXN1,enables,GO:0005515,PMID:32296183,IPI,UniProtKB:P49639,F,Forkhead box protein N1,FOXN1|RONU|WHN,protein,taxon:9606,20220423,IntAct,,
UniProtKB,O15353,FOXN1,enables,GO:0005515,PMID:32296183,IPI,UniProtKB:Q08117-2,F,Forkhead box protein N1,FOXN1|RONU|WHN,protein,taxon:9606,20220423,IntAct,,
UniProtKB,O15353,FOXN1,enables,GO:0005515,PMID:32296183,IPI,UniProtKB:Q12933,F,Forkhead box protein N1,FOXN1|RONU|WHN,protein,taxon:9606,20220423,IntAct,,
UniProtKB,O15353,FOXN1,enables,GO:0005515,PMID:32296183,IPI,UniProtKB:Q13526,F,Forkhead box protein N1,FOXN1|RONU|WHN,protein,taxon:9606,20220423,IntAct,,
UniProtKB,O15353,FOXN1,enables,GO:0005515,PMID:32296183,IPI,UniProtKB:Q68G74,F,Forkhead box protein N1,FOXN1|RONU|WHN,protein,taxon:9606,20220423,IntAct,,
UniProtKB,O15353,FOXN1,enables,GO:0005515,PMID:32296183,IPI,UniProtKB:Q9BXA7,F,Forkhead box protein N1,FOXN1|RONU|WHN,protein,taxon:9606,20220423,IntAct,,
UniProtKB,O15353,FOXN1,enables,GO:0005515,PMID:32296183,IPI,UniProtKB:Q9H0A9-2,F,Forkhead box protein N1,FOXN1|RONU|WHN,protein,taxon:9606,20220423,IntAct,,
UniProtKB,O15353,FOXN1,enables,GO:0005515,PMID:32296183,IPI,UniProtKB:Q9NQL9,F,Forkhead box protein N1,FOXN1|RONU|WHN,protein,taxon:9606,20220423,IntAct,,
UniProtKB,O15353,FOXN1,enables,GO:0005515,PMID:32296183,IPI,UniProtKB:Q9UJX2,F,Forkhead box protein N1,FOXN1|RONU|WHN,protein,taxon:9606,20220423,IntAct,,
UniProtKB,O15353,FOXN1,involved_in,GO:0001942,GO_REF:0000107,IEA,UniProtKB:Q61575|ensembl:ENSMUSP00000103929,P,Forkhead box protein N1,FOXN1|RONU|WHN,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,O15353,FOXN1,involved_in,GO:0002360,GO_REF:0000107,IEA,UniProtKB:Q61575|ensembl:ENSMUSP00000103929,P,Forkhead box protein N1,FOXN1|RONU|WHN,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,O15353,FOXN1,involved_in,GO:0006952,PMID:7969402,TAS,,P,Forkhead box protein N1,FOXN1|RONU|WHN,protein,taxon:9606,20030904,PINC,,
UniProtKB,O15353,FOXN1,involved_in,GO:0008544,PMID:10767081,TAS,,P,Forkhead box protein N1,FOXN1|RONU|WHN,protein,taxon:9606,20030904,PINC,,
UniProtKB,O15353,FOXN1,involved_in,GO:0009887,PMID:7969402,TAS,,P,Forkhead box protein N1,FOXN1|RONU|WHN,protein,taxon:9606,20031119,PINC,,
UniProtKB,O15353,FOXN1,involved_in,GO:0030216,GO_REF:0000107,IEA,UniProtKB:D4A1T1|ensembl:ENSRNOP00000014672,P,Forkhead box protein N1,FOXN1|RONU|WHN,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,O15353,FOXN1,involved_in,GO:0030216,GO_REF:0000107,IEA,UniProtKB:Q61575|ensembl:ENSMUSP00000103929,P,Forkhead box protein N1,FOXN1|RONU|WHN,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,O15353,FOXN1,involved_in,GO:0030858,PMID:24383669,IDA,,P,Forkhead box protein N1,FOXN1|RONU|WHN,protein,taxon:9606,20160512,BHF-UCL,,
UniProtKB,O15353,FOXN1,involved_in,GO:0035878,GO_REF:0000107,IEA,UniProtKB:Q61575|ensembl:ENSMUSP00000103929,P,Forkhead box protein N1,FOXN1|RONU|WHN,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,O15353,FOXN1,involved_in,GO:0043029,GO_REF:0000107,IEA,UniProtKB:Q61575|ensembl:ENSMUSP00000103929,P,Forkhead box protein N1,FOXN1|RONU|WHN,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,O15353,FOXN1,involved_in,GO:0045944,GO_REF:0000107,IEA,UniProtKB:Q61575|ensembl:ENSMUSP00000103929,P,Forkhead box protein N1,FOXN1|RONU|WHN,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,O15353,FOXN1,involved_in,GO:0048514,GO_REF:0000107,IEA,UniProtKB:Q61575|ensembl:ENSMUSP00000103929,P,Forkhead box protein N1,FOXN1|RONU|WHN,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,O15353,FOXN1,involved_in,GO:0051798,GO_REF:0000107,IEA,UniProtKB:Q61575|ensembl:ENSMUSP00000103929,P,Forkhead box protein N1,FOXN1|RONU|WHN,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,O15353,FOXN1,involved_in,GO:0097535,GO_REF:0000107,IEA,UniProtKB:Q61575|ensembl:ENSMUSP00000103929,P,Forkhead box protein N1,FOXN1|RONU|WHN,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,O15353,FOXN1,involved_in,GO:0097536,GO_REF:0000107,IEA,UniProtKB:Q61575|ensembl:ENSMUSP00000103929,P,Forkhead box protein N1,FOXN1|RONU|WHN,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,O15353,FOXN1,involved_in,GO:1902232,GO_REF:0000107,IEA,UniProtKB:Q61575|ensembl:ENSMUSP00000103929,P,Forkhead box protein N1,FOXN1|RONU|WHN,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,O15353,FOXN1,located_in,GO:0005634,GO_REF:0000044,IEA,UniProtKB-SubCell:SL-0191,C,Forkhead box protein N1,FOXN1|RONU|WHN,protein,taxon:9606,20220419,UniProt,,
UniProtKB,O15353,FOXN1,located_in,GO:0000785,GO_REF:0000113,ISA,tfclass:3.3.1,C,Forkhead box protein N1,FOXN1|RONU|WHN,protein,taxon:9606,20190405,NTNU_SB,,
UniProtKB,O43474,KLF4,enables,GO:0000976,GO_REF:0000024,ISS,UniProtKB:Q60793,F,Krueppel-like factor 4,KLF4|EZF|GKLF,protein,taxon:9606,20101215,UniProt,,
UniProtKB,O43474,KLF4,enables,GO:0000981,GO_REF:0000113,ISA,tfclass:2.3.1,F,Krueppel-like factor 4,KLF4|EZF|GKLF,protein,taxon:9606,20190405,NTNU_SB,,
UniProtKB,O43474,KLF4,enables,GO:0000987,PMID:21539536,IDA,,F,Krueppel-like factor 4,KLF4|EZF|GKLF,protein,taxon:9606,20111118,BHF-UCL,occurs_at(SO:0000167),
UniProtKB,O43474,KLF4,enables,GO:0001010,GO_REF:0000024,ISS,UniProtKB:Q60793,F,Krueppel-like factor 4,KLF4|EZF|GKLF,protein,taxon:9606,20101220,BHF-UCL,,
UniProtKB,O43474,KLF4,enables,GO:0001228,PMID:21539536,IMP,,F,Krueppel-like factor 4,KLF4|EZF|GKLF,protein,taxon:9606,20111118,BHF-UCL,occurs_at(SO:0001952),
UniProtKB,O43474,KLF4,enables,GO:0003700,PMID:9422764,NAS,,F,Krueppel-like factor 4,KLF4|EZF|GKLF,protein,taxon:9606,20031216,UniProt,,
UniProtKB,O43474,KLF4,enables,GO:0005515,PMID:19751731,IPI,UniProtKB:Q13363,F,Krueppel-like factor 4,KLF4|EZF|GKLF,protein,taxon:9606,20220423,IntAct,,
UniProtKB,O43474,KLF4,enables,GO:0005515,PMID:24048479,IPI,UniProtKB:O95983,F,Krueppel-like factor 4,KLF4|EZF|GKLF,protein,taxon:9606,20220423,IntAct,,
UniProtKB,O43474,KLF4,enables,GO:0005515,PMID:32296183,IPI,UniProtKB:A0A024R8L2,F,Krueppel-like factor 4,KLF4|EZF|GKLF,protein,taxon:9606,20220423,IntAct,,
UniProtKB,O43474,KLF4,enables,GO:0005515,PMID:32296183,IPI,UniProtKB:O14964,F,Krueppel-like factor 4,KLF4|EZF|GKLF,protein,taxon:9606,20220423,IntAct,,
UniProtKB,O43474,KLF4,enables,GO:0005515,PMID:32296183,IPI,UniProtKB:O75031,F,Krueppel-like factor 4,KLF4|EZF|GKLF,protein,taxon:9606,20220423,IntAct,,
UniProtKB,O43474,KLF4,enables,GO:0005515,PMID:32296183,IPI,UniProtKB:P13807,F,Krueppel-like factor 4,KLF4|EZF|GKLF,protein,taxon:9606,20220423,IntAct,,
UniProtKB,O43474,KLF4,enables,GO:0005515,PMID:32296183,IPI,UniProtKB:P55771,F,Krueppel-like factor 4,KLF4|EZF|GKLF,protein,taxon:9606,20220423,IntAct,,
UniProtKB,O43474,KLF4,enables,GO:0005515,PMID:32296183,IPI,UniProtKB:Q08117-2,F,Krueppel-like factor 4,KLF4|EZF|GKLF,protein,taxon:9606,20220423,IntAct,,
UniProtKB,O43474,KLF4,enables,GO:0005515,PMID:32296183,IPI,UniProtKB:Q92997,F,Krueppel-like factor 4,KLF4|EZF|GKLF,protein,taxon:9606,20220423,IntAct,,
