DB,DB_Object_ID,DB_Object_Symbol,Qualifier,GO_ID,Reference,Evidence_Code,With_Or_From,Aspect,DB_Object_Name,DB_Object_Synonym,DB_Object_Type,Taxon,Date,Assigned_By,Annotation_Extension,Gene_Product_Form_ID
UniProtKB,P01106,MYC,acts_upstream_of_or_within,GO:0008284,PMID:15994933,IDA,,P,Myc proto-oncogene protein,MYC|BHLHE39,protein,taxon:9606,20051223,MGI,,
UniProtKB,P01106,MYC,acts_upstream_of_or_within,GO:0010468,PMID:21447833,IDA,,P,Myc proto-oncogene protein,MYC|BHLHE39,protein,taxon:9606,20140129,MGI,,
UniProtKB,P01106,MYC,enables,GO:0000978,PMID:10723141,IDA,,F,Myc proto-oncogene protein,MYC|BHLHE39,protein,taxon:9606,20140327,NTNU_SB,,
UniProtKB,P01106,MYC,enables,GO:0000978,PMID:19786833,IMP,,F,Myc proto-oncogene protein,MYC|BHLHE39,protein,taxon:9606,20180803,BHF-UCL,occurs_at(SO:0000167),
UniProtKB,P01106,MYC,enables,GO:0000981,GO_REF:0000113,ISA,tfclass:1.2.6,F,Myc proto-oncogene protein,MYC|BHLHE39,protein,taxon:9606,20190405,NTNU_SB,,
UniProtKB,P01106,MYC,enables,GO:0000981,PMID:25956029,IMP,,F,Myc proto-oncogene protein,MYC|BHLHE39,protein,taxon:9606,20170510,UniProt,,
UniProtKB,P01106,MYC,enables,GO:0001046,PMID:30873824,IDA,,F,Myc proto-oncogene protein,MYC|BHLHE39,protein,taxon:9606,20190430,ARUK-UCL,"has_input(UniProtKB:P15692),occurs_in(CL:0002618)",
UniProtKB,P01106,MYC,enables,GO:0001221,PMID:15674325,IPI,UniProtKB:P19338,F,Myc proto-oncogene protein,MYC|BHLHE39,protein,taxon:9606,20210714,UniProt,,
UniProtKB,P01106,MYC,enables,GO:0001221,PMID:15674325,IPI,UniProtKB:Q09472,F,Myc proto-oncogene protein,MYC|BHLHE39,protein,taxon:9606,20210714,UniProt,,
UniProtKB,P01106,MYC,enables,GO:0001221,PMID:15674325,IPI,UniProtKB:Q53GL7,F,Myc proto-oncogene protein,MYC|BHLHE39,protein,taxon:9606,20210714,UniProt,,
UniProtKB,P01106,MYC,enables,GO:0001221,PMID:15674325,IPI,UniProtKB:Q92793,F,Myc proto-oncogene protein,MYC|BHLHE39,protein,taxon:9606,20210714,UniProt,,
UniProtKB,P01106,MYC,enables,GO:0001227,PMID:19786833,IMP,,F,Myc proto-oncogene protein,MYC|BHLHE39,protein,taxon:9606,20180803,BHF-UCL,"has_input(UniProtKB:P24385),occurs_at(SO:0005836)",
UniProtKB,P01106,MYC,enables,GO:0001228,PMID:10723141,IDA,,F,Myc proto-oncogene protein,MYC|BHLHE39,protein,taxon:9606,20140226,NTNU_SB,occurs_at(SO:0001952),
UniProtKB,P01106,MYC,enables,GO:0001228,PMID:27791094,IDA,,F,Myc proto-oncogene protein,MYC|BHLHE39,protein,taxon:9606,20210619,ARUK-UCL,"occurs_in(CL:0000351),has_input(RNAcentral:URS00000A68B2_9606),occurs_in(UBERON:0000319),part_of(GO:1902895)",
UniProtKB,P01106,MYC,enables,GO:0003677,GO_REF:0000024,ISS,UniProtKB:Q28350,F,Myc proto-oncogene protein,MYC|BHLHE39,protein,taxon:9606,20111118,UniProt,,
UniProtKB,P01106,MYC,enables,GO:0003677,PMID:10597290,TAS,,F,Myc proto-oncogene protein,MYC|BHLHE39,protein,taxon:9606,20060308,UniProt,,
UniProtKB,P01106,MYC,enables,GO:0003700,PMID:9924025,IDA,,F,Myc proto-oncogene protein,MYC|BHLHE39,protein,taxon:9606,20111117,UniProt,,
