#node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
APC,TBL1X,9606.ENSP00000257430,9606.ENSP00000217964,0,0,0,0,0.078,0.07,0.8,0.095,0.824
APC,SKP1,9606.ENSP00000257430,9606.ENSP00000231487,0,0,0,0,0,0,0.9,0.14,0.91
APC,BCL9,9606.ENSP00000257430,9606.ENSP00000234739,0,0,0,0,0.063,0,0.65,0.321,0.757
APC,JUN,9606.ENSP00000257430,9606.ENSP00000360266,0,0,0,0,0,0.121,0,0.356,0.41
APC,EGFR,9606.ENSP00000257430,9606.ENSP00000275493,0,0,0,0,0,0,0,0.421,0.421
APC,SRC,9606.ENSP00000257430,9606.ENSP00000362680,0,0,0,0,0.064,0.145,0,0.364,0.446
APC,CDH5,9606.ENSP00000257430,9606.ENSP00000344115,0,0,0,0,0,0,0.54,0.107,0.571
APC,CDH3,9606.ENSP00000257430,9606.ENSP00000264012,0,0,0,0,0,0,0.54,0.112,0.574
APC,IQGAP1,9606.ENSP00000257430,9606.ENSP00000268182,0,0,0,0,0,0.213,0,0.517,0.604
APC,CDH2,9606.ENSP00000257430,9606.ENSP00000269141,0,0,0,0,0,0,0.72,0.241,0.778
APC,TCF7L1,9606.ENSP00000257430,9606.ENSP00000282111,0,0,0,0,0,0.105,0.6,0.461,0.79
APC,CTNND1,9606.ENSP00000257430,9606.ENSP00000382004,0,0,0,0,0.064,0.136,0.72,0.218,0.799
APC,SMAD4,9606.ENSP00000257430,9606.ENSP00000341551,0,0,0,0,0.062,0.688,0,0.502,0.841
APC,LEF1,9606.ENSP00000257430,9606.ENSP00000265165,0,0,0,0,0,0.105,0.6,0.608,0.847
APC,CDH1,9606.ENSP00000257430,9606.ENSP00000261769,0,0,0,0,0,0,0.72,0.518,0.859
APC,TCF7L2,9606.ENSP00000257430,9606.ENSP00000358404,0,0,0,0,0,0.139,0.6,0.631,0.861
APC,TCF7,9606.ENSP00000257430,9606.ENSP00000340347,0,0,0,0,0,0.105,0.8,0.453,0.893
APC,HDAC1,9606.ENSP00000257430,9606.ENSP00000362649,0,0,0,0,0.062,0,0.9,0.123,0.91
APC,CTNNA1,9606.ENSP00000257430,9606.ENSP00000304669,0,0,0,0,0.064,0.874,0.72,0.351,0.975
APC,CTNNBIP1,9606.ENSP00000257430,9606.ENSP00000366474,0,0,0,0,0,0.943,0.72,0.217,0.986
APC,DVL1,9606.ENSP00000257430,9606.ENSP00000368169,0,0,0,0,0.066,0.521,0.9,0.793,0.989
APC,BTRC,9606.ENSP00000257430,9606.ENSP00000359206,0,0,0,0,0.062,0.806,0.9,0.62,0.992
APC,AXIN2,9606.ENSP00000257430,9606.ENSP00000302625,0,0,0,0,0.066,0.674,0.9,0.976,0.999
APC,AXIN1,9606.ENSP00000257430,9606.ENSP00000262320,0,0,0,0,0.066,0.991,0.9,0.992,0.999
APC,GSK3B,9606.ENSP00000257430,9606.ENSP00000324806,0,0,0,0,0.084,0.91,0.9,0.99,0.999
APC,CTNNB1,9606.ENSP00000257430,9606.ENSP00000344456,0,0,0,0,0.065,0.998,0.9,0.994,0.999
AR,NANOG,9606.ENSP00000363822,9606.ENSP00000229307,0,0,0,0,0,0.166,0,0.405,0.482
AR,POU5F1,9606.ENSP00000363822,9606.ENSP00000259915,0,0,0,0,0,0.243,0,0.414,0.537
AR,CDH1,9606.ENSP00000363822,9606.ENSP00000261769,0,0,0,0,0,0,0,0.641,0.641
AR,CREBBP,9606.ENSP00000363822,9606.ENSP00000262367,0,0,0,0,0,0.788,0.9,0.636,0.991
AR,EP300,9606.ENSP00000363822,9606.ENSP00000263253,0,0,0,0,0,0.881,0.9,0.793,0.997
AR,LEF1,9606.ENSP00000363822,9606.ENSP00000265165,0,0,0,0,0,0.133,0,0.391,0.449
AR,CDH2,9606.ENSP00000363822,9606.ENSP00000269141,0,0,0,0,0,0,0,0.504,0.504
AR,ERBB2,9606.ENSP00000363822,9606.ENSP00000269571,0,0,0,0,0.067,0.102,0,0.752,0.774
AR,EGFR,9606.ENSP00000363822,9606.ENSP00000275493,0,0,0,0,0.063,0.698,0,0.966,0.989
AR,SOX2,9606.ENSP00000363822,9606.ENSP00000323588,0,0,0,0,0,0.087,0,0.457,0.483
AR,GSK3B,9606.ENSP00000363822,9606.ENSP00000324806,0,0,0,0,0,0.482,0.9,0.405,0.966
AR,SMAD4,9606.ENSP00000363822,9606.ENSP00000341551,0,0,0,0,0,0.291,0.9,0.937,0.995
AR,CTNNB1,9606.ENSP00000363822,9606.ENSP00000344456,0,0,0,0,0,0.898,0.9,0.989,0.999
AR,TCF7L2,9606.ENSP00000363822,9606.ENSP00000358404,0,0,0,0,0,0.34,0.9,0.219,0.943
AR,JUN,9606.ENSP00000363822,9606.ENSP00000360266,0,0,0,0,0,0.499,0,0.928,0.962
AR,HDAC1,9606.ENSP00000363822,9606.ENSP00000362649,0,0,0,0,0,0.762,0,0.833,0.958
AR,SRC,9606.ENSP00000363822,9606.ENSP00000362680,0,0,0,0,0,0.839,0.9,0.989,0.999
AR,TCF4,9606.ENSP00000363822,9606.ENSP00000381382,0,0,0,0,0,0.23,0,0.447,0.556
AR,FOXA2,9606.ENSP00000363822,9606.ENSP00000400341,0,0,0,0,0,0.062,0,0.839,0.843
AR,FOXO1,9606.ENSP00000363822,9606.ENSP00000368880,0,0,0,0,0,0.497,0,0.965,0.981
AXIN1,SKP1,9606.ENSP00000262320,9606.ENSP00000231487,0,0,0,0,0,0,0.6,0.343,0.726
AXIN1,BCL9,9606.ENSP00000262320,9606.ENSP00000234739,0,0,0,0,0.062,0,0,0.603,0.612
