1,1,1,1 or 2,1,1+,1,0+,1,0 or 1,0+,1,1 or 2,1,1,0+,0 or 1
DB,DB Object ID,DB Object Symbol,Qualifier,GO ID,DB:Reference,Evidence Code,With or From,Aspect,DB Object Name,DB Object Synonym,DB Object Type,Taxon,Date,Assigned By,Annotation_Extension,Gene_Product_Form_ID
UniProtKB,Q9H6I2,SOX17,enables,GO:0000976,GO_REF:0000024,ISS,UniProtKB:P40646,F,Transcription factor SOX-17,SOX17,protein,taxon:9606,20110606,UniProt,,
UniProtKB,Q9H6I2,SOX17,enables,GO:0000976,GO_REF:0000024,ISS,UniProtKB:Q61473,F,Transcription factor SOX-17,SOX17,protein,taxon:9606,20110606,BHF-UCL,,
UniProtKB,Q9H6I2,SOX17,enables,GO:0000981,GO_REF:0000024,ISS,UniProtKB:Q61473,F,Transcription factor SOX-17,SOX17,protein,taxon:9606,20100317,BHF-UCL,occurs_at(SO:0000165),
UniProtKB,Q9H6I2,SOX17,enables,GO:0000981,GO_REF:0000113,ISA,tfclass:4.1.1,F,Transcription factor SOX-17,SOX17,protein,taxon:9606,20190405,NTNU_SB,,
UniProtKB,Q9H6I2,SOX17,enables,GO:0005515,PMID:17875931,IPI,UniProtKB:P35222,F,Transcription factor SOX-17,SOX17,protein,taxon:9606,20220423,IntAct,,
UniProtKB,Q9H6I2,SOX17,enables,GO:0008013,PMID:17875931,IPI,UniProtKB:P35222,F,Transcription factor SOX-17,SOX17,protein,taxon:9606,20080915,BHF-UCL,,
UniProtKB,Q9H6I2,SOX17,enables,GO:0061629,PMID:17875931,IPI,UniProtKB:Q9NQB0,F,Transcription factor SOX-17,SOX17,protein,taxon:9606,20210910,BHF-UCL,,
UniProtKB,Q9H6I2,SOX17,enables,GO:0061629,PMID:19736317,IPI,UniProtKB:Q01860-1,F,Transcription factor SOX-17,SOX17,protein,taxon:9606,20210910,BHF-UCL,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0001525,GO_REF:0000024,ISS,UniProtKB:Q61473,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20100317,BHF-UCL,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0001570,GO_REF:0000024,ISS,UniProtKB:Q61473,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20100317,BHF-UCL,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0001656,PMID:20960469,IMP,,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20190614,BHF-UCL,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0001706,PMID:18682240,IDA,,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20091021,UniProt,,
