DB	DB_Object_ID	DB_Object_Symbol	Qualifier	GO_ID	Reference	Evidence_Code	With_Or_From	Aspect	DB_Object_Name	DB_Object_Synonym	DB_Object_Type	Taxon	Date	Assigned_By		
UniProtKB	O00321	ETV2	enables	GO:0003676	PMID:28473536	IDA		F			protein	taxon:9606	20200608	ARUK-UCL		
UniProtKB	O00321	ETV2	enables	GO:0050789	PMID:21873635	IBA	FB:FBgn0000097|FB:FBgn0000567|FB:FBgn0003118|MGI:MGI:107180|MGI:MGI:109336|MGI:MGI:1101781|MGI:MGI:1335079|MGI:MGI:1341168|MGI:MGI:1350926|MGI:MGI:95554|MGI:MGI:98282|MGI:MGI:99253|PANTHER:PTN000218930|RGD:628860|UniProtKB:P11308|UniProtKB:P14921|UniProtKB:P15036|UniProtKB:P19419|UniProtKB:P28324|UniProtKB:P32519|UniProtKB:P41161|UniProtKB:P41212|UniProtKB:P41970|UniProtKB:P43268|UniProtKB:P50548|UniProtKB:P50549|UniProtKB:P78545|UniProtKB:Q01892|UniProtKB:Q06546|UniProtKB:Q15723|UniProtKB:Q99607|UniProtKB:Q9NZC4|UniProtKB:Q9Y603	F			protein	taxon:9606	20170228	GO_Central		
UniProtKB	O00321	ETV2	enables	GO:0006351	PMID:21873635	IBA	FB:FBgn0000097|FB:FBgn0000567|FB:FBgn0003118|MGI:MGI:107180|MGI:MGI:109336|MGI:MGI:1101781|MGI:MGI:1335079|MGI:MGI:1341168|MGI:MGI:1350926|MGI:MGI:95554|MGI:MGI:98282|MGI:MGI:99253|PANTHER:PTN000218930|RGD:628860|UniProtKB:P11308|UniProtKB:P14921|UniProtKB:P15036|UniProtKB:P19419|UniProtKB:P28324|UniProtKB:P32519|UniProtKB:P41161|UniProtKB:P41212|UniProtKB:P41970|UniProtKB:P43268|UniProtKB:P50548|UniProtKB:P50549|UniProtKB:P78545|UniProtKB:Q01892|UniProtKB:Q06546|UniProtKB:Q15723|UniProtKB:Q99607|UniProtKB:Q9NZC4|UniProtKB:Q9Y603	F			protein	taxon:9606	20170228	GO_Central		
UniProtKB	O00321	ETV2	enables	GO:0005694	PMID:21873635	IBA	FB:FBgn0000097|FB:FBgn0000567|FB:FBgn0003118|MGI:MGI:107180|MGI:MGI:109336|MGI:MGI:1101781|MGI:MGI:1335079|MGI:MGI:1341168|MGI:MGI:1350926|MGI:MGI:95554|MGI:MGI:98282|MGI:MGI:99253|PANTHER:PTN000218930|RGD:628860|UniProtKB:P11308|UniProtKB:P14921|UniProtKB:P15036|UniProtKB:P19419|UniProtKB:P28324|UniProtKB:P32519|UniProtKB:P41161|UniProtKB:P41212|UniProtKB:P41970|UniProtKB:P43268|UniProtKB:P50548|UniProtKB:P50549|UniProtKB:P78545|UniProtKB:Q01892|UniProtKB:Q06546|UniProtKB:Q15723|UniProtKB:Q99607|UniProtKB:Q9NZC4|UniProtKB:Q9Y603	F			protein	taxon:9606	20170228	GO_Central		
UniProtKB	O00321	ETV2	is_active_in	GO:0005634	PMID:21873635	IBA	FB:FBgn0000097|FB:FBgn0000567|FB:FBgn0003118|MGI:MGI:101762|MGI:MGI:107180|MGI:MGI:109637|MGI:MGI:1335079|MGI:MGI:1350926|MGI:MGI:1353422|MGI:MGI:2449712|MGI:MGI:95455|MGI:MGI:95554|MGI:MGI:95610|MGI:MGI:98282|MGI:MGI:99423|PANTHER:PTN000218930|RGD:1359607|RGD:1598663|RGD:2583|UniProtKB:P14921|UniProtKB:P15036|UniProtKB:P17947|UniProtKB:P19419|UniProtKB:P28324|UniProtKB:P32519|UniProtKB:P41161|UniProtKB:P41162|UniProtKB:P41212|UniProtKB:P41970|UniProtKB:P43268|UniProtKB:P50548|UniProtKB:P78545|UniProtKB:Q01543|UniProtKB:Q06546|UniProtKB:Q15723|UniProtKB:Q99581|UniProtKB:Q99607|UniProtKB:Q9NZC4|UniProtKB:Q9Y603|WB:WBGene00002990|WB:WBGene00017687|WB:WBGene00020368	C			protein	taxon:9606	20210101	GO_Central		
UniProtKB	O00321	ETV2	involved_in	GO:0032502	PMID:21873635	IBA	FB:FBgn0000097|FB:FBgn0000567|FB:FBgn0003118|FB:FBgn0023214|MGI:MGI:109336|MGI:MGI:109637|MGI:MGI:1335079|MGI:MGI:1353422|MGI:MGI:2449712|MGI:MGI:892986|MGI:MGI:95415|MGI:MGI:95456|MGI:MGI:95554|MGI:MGI:98282|MGI:MGI:99253|MGI:MGI:99254|MGI:MGI:99423|PANTHER:PTN000218930|RGD:1309590|UniProtKB:P17947|UniProtKB:Q9NZC4|WB:WBGene00020368|ZFIN:ZDB-GENE-030131-9572|ZFIN:ZDB-GENE-031114-3|ZFIN:ZDB-GENE-041212-40|ZFIN:ZDB-GENE-050622-14|ZFIN:ZDB-GENE-070112-1852|ZFIN:ZDB-GENE-070209-53|ZFIN:ZDB-GENE-980526-164|ZFIN:ZDB-GENE-990415-71|ZFIN:ZDB-GENE-991228-4	P			protein	taxon:9606	20220414	GO_Central		
UniProtKB	O00321	ETV2	involved_in	GO:0050789	PMID:21873635	IBA	FB:FBgn0000097|FB:FBgn0000567|FB:FBgn0003118|FB:FBgn0004510|MGI:MGI:107180|MGI:MGI:109336|MGI:MGI:1101781|MGI:MGI:1335079|MGI:MGI:1341168|MGI:MGI:1350926|MGI:MGI:1353422|MGI:MGI:1928377|MGI:MGI:95455|MGI:MGI:95554|MGI:MGI:95610|MGI:MGI:98282|MGI:MGI:99253|MGI:MGI:99423|PANTHER:PTN000218930|RGD:1584977|RGD:1598663|RGD:628860|UniProtKB:O95238|UniProtKB:P11308|UniProtKB:P14921|UniProtKB:P15036|UniProtKB:P17947|UniProtKB:P19419|UniProtKB:P28324|UniProtKB:P32519|UniProtKB:P41161|UniProtKB:P41212|UniProtKB:P41970|UniProtKB:P43268|UniProtKB:P50548|UniProtKB:P50549|UniProtKB:P78545|UniProtKB:Q01892|UniProtKB:Q06546|UniProtKB:Q15723|UniProtKB:Q99607|UniProtKB:Q9NZC4|UniProtKB:Q9Y603|WB:WBGene00002990|WB:WBGene00020368|ZFIN:ZDB-GENE-050622-14	P			protein	taxon:9606	20220414	GO_Central		
UniProtKB	O00321	ETV2	enables	GO:0050789	GO_REF:0000002	IEA	InterPro:IPR000418|InterPro:IPR046328	F			protein	taxon:9606	20220613	InterPro		
UniProtKB	O00321	ETV2	enables	GO:0006351	GO_REF:0000002	IEA	InterPro:IPR000418|InterPro:IPR046328	F			protein	taxon:9606	20220613	InterPro		
UniProtKB	O00321	ETV2	enables	GO:0003676	GO_REF:0000002	IEA	InterPro:IPR000418	F			protein	taxon:9606	20220613	InterPro		
