ID,Model,HGNC,Transcription_factor,Model_length,Quality,TF_family,EntrezGene,UniProt_ID,TFclass
AHR_HUMAN.H11MO.0.B,AHR_HUMAN.H11MO.0.B,AHR,AHR,9,B,PAS domain factors{1.2.5},196,AHR_HUMAN,1.2.5
AIRE_HUMAN.H11MO.0.C,AIRE_HUMAN.H11MO.0.C,AIRE,AIRE,18,C,AIRE{5.3.1},326,AIRE_HUMAN,5.3.1
ALX1_HUMAN.H11MO.0.B,ALX1_HUMAN.H11MO.0.B,ALX1,ALX1,12,B,Paired-related HD factors{3.1.3},8092,ALX1_HUMAN,3.1.3
ALX3_HUMAN.H11MO.0.D,ALX3_HUMAN.H11MO.0.D,ALX3,ALX3,11,D,Paired-related HD factors{3.1.3},257,ALX3_HUMAN,3.1.3
ALX4_HUMAN.H11MO.0.D,ALX4_HUMAN.H11MO.0.D,ALX4,ALX4,12,D,Paired-related HD factors{3.1.3},60529,ALX4_HUMAN,3.1.3
ANDR_HUMAN.H11MO.0.A,ANDR_HUMAN.H11MO.0.A,AR,AR,18,A,Steroid hormone receptors (NR3){2.1.1},367,ANDR_HUMAN,2.1.1
ANDR_HUMAN.H11MO.1.A,ANDR_HUMAN.H11MO.1.A,AR,AR,16,A,Steroid hormone receptors (NR3){2.1.1},367,ANDR_HUMAN,2.1.1
ANDR_HUMAN.H11MO.2.A,ANDR_HUMAN.H11MO.2.A,AR,AR,12,A,Steroid hormone receptors (NR3){2.1.1},367,ANDR_HUMAN,2.1.1
AP2A_HUMAN.H11MO.0.A,AP2A_HUMAN.H11MO.0.A,TFAP2A,TFAP2A,15,A,AP-2{1.3.1},7020,AP2A_HUMAN,1.3.1
AP2B_HUMAN.H11MO.0.B,AP2B_HUMAN.H11MO.0.B,TFAP2B,TFAP2B,10,B,AP-2{1.3.1},7021,AP2B_HUMAN,1.3.1
AP2C_HUMAN.H11MO.0.A,AP2C_HUMAN.H11MO.0.A,TFAP2C,TFAP2C,14,A,AP-2{1.3.1},7022,AP2C_HUMAN,1.3.1
